item_seq,name_ko,manufacturer_name,product_type,chart,image_url
200000913,코니트라캡슐(이트라코나졸)(수출용),코오롱제약(주),ETC,"백색~미황색 과립이 충진된 상의 보라, 하의 회색의 경질캅셀제",
200200173,심바로드정20밀리그램(심바스타틴),(주)종근당,ETC,황갈색의 장방형 필름코팅정,
200200214,휴심바정(심바스타틴),한국휴텍스제약(주),ETC,황갈색의 타원형 필름코팅정제,
200200644,심바틴정40밀리그람(심바스타틴),동화약품(주),ETC,연분홍색의 타원형 필름코팅정제,
200200720,동성심바스타틴정,동성제약(주),ETC,황갈색의 타원형 필름코팅정제,
200201201,심바스타정20밀리그램(심바스타틴),에이치케이이노엔(주),ETC,살구색의 타원형 필름코팅정제,
200201416,심펙스정(심바스타틴)(수출명:Simtano),한국유나이티드제약(주),ETC,황갈색의 타원형 필름코팅정제,
200202205,심바스트정20밀리그램(심바스타틴),한미약품(주),ETC,노란 갈색의 타원형 필름코팅정제,
200300283,심바롤정(심바스타틴),일동제약(주),ETC,황갈색의 타원형 필름코팅정제,
200300551,심바틴정20밀리그람(수출명:Austin)(심바스타틴),동화약품(주),ETC,황갈색의 타원형 필름코팅정,
200300639,심바로틴정20밀리그램(심바스타틴),알리코제약(주),ETC,황갈색의 타원형 필름코팅정제,
200300670,에이프로젠심바스타틴정20밀리그램,(주)에이프로젠바이오로직스,ETC,황갈색의 타원형 필름코팅정제,
200300941,시스타정40밀리그램(심바스타틴),(주)보령,ETC,연분홍색의 타원형 필름코팅정제,
200301112,에프심바정40밀리그람(심바스타틴)(수출용),(주)다림바이오텍,ETC,연분홍색의 타원형 필름코팅정,
200301131,심바스타정40밀리그램(심바스타틴),에이치케이이노엔(주),ETC,분홍색의 타원형 필름코팅정제,
200301662,리피듀정(심바스타틴),에스케이케미칼(주),ETC,황갈색의 타원형 필름코팅정,
200308586,심바코정(심바스타틴),(주)동구바이오제약,ETC,황갈색의 타원형 필름코팅정,
200308855,심콜정(심바스타틴),하나제약(주),ETC,황갈색의 타원형 필름코팅정,
200400121,심바로드정40밀리그램(심바스타틴),(주)종근당,ETC,붉은 벽돌색의 장방형 필름코팅정,
200400682,심바스테롤정20밀리그람(심바스타틴),대우제약(주),ETC,황갈색의 타원형 필름코팅정제,
200400724,심바트정20밀리그람(심바스타틴),아주약품(주),ETC,황갈색의 타원형의 필름코팅정제,
200400828,리포스타정20밀리그램(심바스타틴),(주)일화,ETC,황갈색의 타원형의 필름코팅정제,
200401145,태극심바스타틴정,태극제약(주),ETC,노란 갈색의 타원형 필름코팅정,
200401411,조바틴정20밀리그램(심바스타틴),진양제약(주),ETC,황갈색의 타원형 필름코팅정제,
200401687,조바코정(심바스타틴),한국유니온제약(주),ETC,황갈색의 타원형 필름코팅정,
200401881,심바젠정(심바스타틴),(주)셀릭스,ETC,황갈색의 타원형 필름코팅정,
200401924,에이치엘비심바스타틴정20밀리그램,에이치엘비제약(주),ETC,황갈색의 타원형 필름코팅정,
200402309,심바로정(심바스타틴),영일제약(주),ETC,황갈색의 타원형 필름코팅정,
200402374,리피스탄정(심바스타틴),(주)테라젠이텍스,ETC,황갈색의 타원형 필름코팅정,
200402472,심바란정(심바스타틴),(주)팜젠사이언스,ETC,황갈색의 타원형 필름코팅정제,
200402567,심바탄정20mg(심바스타틴),미래바이오제약(주),ETC,황갈색의 타원형 필름코팅정제,
200402604,심바넥스정(심바스타틴),(주)바이넥스,ETC,황갈색의 타원형 필름코팅정제,
200402617,심바스트정40밀리그램(심바스타틴),한미약품(주),ETC,붉은 벽돌색의 타원형 필름코팅정제,
200402946,심바스정(심바스타틴),영풍제약(주),ETC,엷은 등황색 타원형의 필름코팅정,
200402982,바스트정20밀리그람(심바스타틴),(주)하원제약,ETC,황갈색의 타원형 필름코팅정,
200403028,콜스테롤정(심바스타틴),(주)티디에스팜,ETC,연분홍색의 타원형 필름코팅정제,
200403084,심바크린정(심바스타틴),구주제약(주),ETC,황갈색의 타원형 필름코팅정제,
200403126,시바스정(심바스타틴),(주)휴온스,ETC,"내수용: 황갈색의 타원형 필름코팅정제
수출용: 황갈색의 원형 필름코팅정제",
200403243,명문심바스타틴정,명문제약(주),ETC,황갈색의 타원형 필름코팅정제,
200403258,심바스포정20밀리그램(심바스타틴),케이엠에스제약(주),ETC,황갈색의 타원형의 필름코팅정제,
200403459,심박정(심바스타틴)(수출명 : SIMVAC Tab.),삼익제약(주),ETC,"내수용 : 엷은 등황색 타원형의 필름코팅정

수출용 : 황갈색의 원형 필름코팅정제",
200403819,유니심바정20밀리그램(심바스타틴)(수출명:조쿠나정),유니메드제약(주),ETC,황갈색의 타원형 필름코팅정제,
200404029,"심비단정(심바스타틴)(수출명:SIVASTANTTAB.,SIVANSTANTTAB.)",한국프라임제약(주),ETC,황갈색의 타원형 필름코팅정제,
200404196,조코나정40밀리그람(심바스타틴),(주)넥스팜코리아,ETC,연분홍색의 타원형 필름코팅정제,
200404707,심바타틴정20밀리그램(심바스타틴),주식회사제뉴원사이언스,ETC,황갈색의 타원형 필름코팅정제,
200411015,심바스탄정(심바스타틴),에스피씨(주),ETC,황갈색의 타원형 필름코팅정제,
200500072,심바스틴정20밀리그램(심바스타틴),신풍제약(주),ETC,황갈색의 타원형 필름코팅정제,
200501423,조바코정40밀리그람(심바스타틴)(수출용),한국유니온제약(주),ETC,흰색의 원형 필름코팅정,
200511262,바이토린정10/10,한국오가논(주),ETC,백색내지 미백색의 한 면에 311이 새겨진 양면이 볼록한 캡슐모양의 정제,
200511263,바이토린정10/20,한국오가논(주),ETC,백색내지 미백색의 한 면에 312이 새겨진 양면이 볼록한 캡슐모양의 정제,
200511264,바이토린정10/40,한국오가논(주),ETC,백색내지 미백색의 한 면에 313이 새겨진 양면이 볼록한 캡슐모양의 정제,
